COMPONENT_ID,COMPONENT_DESC_EN
599,Es
600,Fm
601,Md
602,No
603,Lr
604,D
605,RE
606,An
611,Si(OCH3)4
612,Si(OC2H5)4
613,Si(O-n-C3H7)4
614,Si(O-n-C4H9)4
615,HSi(OCH3)3
616,CH3Si(OCH3)3
617,C2H5Si(OCH3)3
618,CH2=CHSi(OCH3)3
619,C6H5Si(OCH3)3
620,CH2=C(CH3)COOC3H6Si(OCH3)3
621,CH2OCHCH2OC2H6Si(OCH3)3
622,3-amionpropyltrimethoxsilane
623,CH3Si(OC2H5)3
624,C2H5Si(OC2H5)3
625,CH2=CHSi(OC2H5)3
626,C6H5Si(OC2H5)3
627,3-amionpropyltriethoxysilane
628,(CH3)2Si(OC2H5)2
629,B(OCH3)3
630,B(OC2H5)3
631,B(O-n-C4H9)3
632,H3BO3
633,Al(O-i-C3H5)3
634,Al(O-sec-C4H9)3
635,Al(NO3)3
636,H3PO4
637,PO(OC2H5)3
638,Ge(OC2H5)4
639,GeCl4
640,Ge(O-i-C3H7)
641,Ti(OC2H5)4
642,Ti(O-i-C3H7)4
643,Ti(O-n-C4H9)4
644,Ti(O-i-C4H9)4
645,Ti(O-sec-C4H9)4
646,VO(O-i-C3H7)3
647,Mn(CH3COO)2.2H2O
648,Zr(O-n-C3H7)4
649,Zr(O-n-C4H9)4
650,ZrOCl2
651,ZrO(NO3)2.2H2O
652,Nb(OC2H5)5
653,Ta(OC2H5)5
654,LiOCH3
655,LiOC2H5
656,CH3COOLi
657,NaOCH3
658,CH3COONa
659,Mg(OC2H5)2
660,Mg(CH3COO)2
661,Ca(O-i-C3H7)2
662,Sr-2-ethylhexanoate
663,Ba(OC2H5)2
664,Ba metal
665,Ba(CH3COO)2
666,Bi-2-ethylhexanoate
667,Pb(CH3COO)2.3H2O
668,Pb(OC2H5)2
669,CH3OH
670,C2H5OH
671,n-C3H7OH
672,i-C3H7OH
673,n-C4H9OH
674,2-CH3OCH2OH
675,2-CH3OC2H4OH
676,2-C2H5OC2H4OH
677,Diacetone alcohol
678,Ethylene glycol
679,"1,3-propandiol"
680,"1,3-butanediol"
681,"1,4-butanediol"
682,Tetrahydrofuran
683,Dioxane
684,Dimethylformamide
685,Formamide
686,Acetonitrile
687,H2O
688,HCl
689,HNO3
690,CH3COOH
691,H2SO4
692,HF
693,NH4OH
694,NaOH
695,Polyvinyl alcohol
696,Polyethylene glycol
697,Polyethylene oxide
698,Poly acrylic acid
699,Polyvinylpyrrolidone
700,Acethylaceton
701,Ethylacetoacetate
702,Monoethanolamine
703,Diethanolamine
704,Triethanolamine
705,Hydrogen peroxide
706,Methacrylic acid
707,Dimethylformamide
708,Dimethylacetamide
709,Formamide
710,Glycerol
711,PO(OCH3)3
712,NaOC2H5
713,KHSO4
714,LiHSO4
715,NaHSO4
716,Cu2MoO4
717,CuPO3
718,Cu2WO4
719,CdGeO3
720,PbGeO3
721,Li3PO4
722,Na3PO4
723,LiNbO3
724,Ag3AsO4
725,Ag2MoO4
726,Ag4P2O7
727,KNbO3
728,PbTiO3
729,PbZrO3
730,AgAsS2
731,Ag3PO4
732,AgPS3
733,Ag2SO4
734,Ag3VO4
735,Li3BO3
736,Li4GeO4
737,Li4SiO4
738,Na2P2O6
739,Na2Te2O5
740,Ag2WO4
741,Ba3N2
742,Li6B4O9
743,Li6B4S9
744,Li6Si2S7
745,In(PO3)3
746,Li3AlO3
747,Li3GaO3
748,Li3InO3
749,K2B4O7
750,Sr(PO3)2
751,Ti3(PO4)4
752,Li2MoO4
753,Na2MoO4
754,Kaolin
755,CaZrO3
756,SrZrO3
757,BaZrO3
758,Al(OH)3
759,Al(PO3)3
760,BaCO3
761,Ba(NO3)2
762,Ba(PO3)2
763,BaSiF6
764,BaSO4
765,CaCO3
766,Ca(PO3)2
767,Ca3(PO4)2
768,CaSO4
769,H3PO4
770,K2CO3
771,K2CrO7
772,KNO3
773,KPF6
774,KPO3
775,K2SiF6
776,K2SO4
777,K2TiF6
778,Li2CO3
779,LiNO3
780,La2(CO3)3
781,MgCO3
782,Mg(PO3)2
783,Na2CO3
784,NaPO3
785,NaNO3
786,Na4P2O7
787,Na2SO4
788,NaSO3F
789,Pb(NO3)2
790,Pb(PO3)2
791,CaB2O4
792,SrCO3
793,Sr(NO3)2
794,Zn(NO3)2
795,Zn(PO3)2
796,H3BO3
797,AlPO4
798,AgNO3
799,SrB4O7
800,LiBO2
801,Al2O3-2SiO2-2H2O
802,CaAl2Si2O8
803,2CaO-3B2O3-5H2O
804,K2O-Al2O3-6SiO2
805,K2O-3Na2O-4Al2O3-9SiO2
806,LiF-KF-Al2O3-3SiO2
807,Li2O-Al2O3-4SiO2
808,Li2O-Al2O3-8SiO2
809,MgCO3-CaCO3
810,Na2B4O7-10H2O
811,NaHPO4-12H2O
812,Na2O-Al2O3-6SiO2
813,Na2O-2B2O3-4H2O
814,Sirasu
815,Water Glass
816,Nuclear Waste
817,Slag
818,Mg3(Si4O10)(OH)2
819,Ca(NO3)2
820,Zn3(PO4)2
821,AgPO3
822,CdCO3
823,ZnSO4
824,Li2SO4
825,CdSO4
826,MgSO4
827,TlPO3
829,Nd2SO4
830,Cu(NO3)2
831,PbSnO3
832,Pb2Sb2O7
833,Li2B4O7
834,ZnCO3
835,Na2B2O4-8H2O
836,Bi(NO3)3-5H2O
837,NaBiO3
838,Cd(NO3)2
839,La(PO3)3
840,Ga(PO3)3
841,LiPO3
842,BaTiO3
843,Ag2S
844,BPO4
845,Sr3(PO4)2
846,CaHPO4-2H2O
847,Na2SiF6
848,PbS
849,As2S3
850,As2Se3
851,PbSO4
852,Ag2Se
853,As4S4
854,As2Se5
855,BaS
856,Bi2S3
857,Dy2S3
858,Ga2S3
859,La2S3
860,Lu2S3
861,Nd2S3
862,Pr2S3
863,Sb2S3
864,Ga2Se3
865,B2S3
866,Cs2S
867,Tm2S3
868,HgS
869,GeSe3
870,K2S
871,ZrS2
872,GeSe2
873,Sb2Se3
874,SnSe
875,AsSe
876,Li3N
877,Li2Se
878,SiSe2
879,Tl2S
880,GeS
881,As2Te3
882,Er2S3
883,EuS
884,Cu2Se
885,Tl2Se
886,Tl2Te
887,TiF3
888,SbSI
889,Filler Glass
890,In2S3
900,Matrix Glass
901,AlN
902,SiC
903,Si3N4
904,MgO-SiO2
905,ZrO2-SiO2
906,Organic Compound
907,Li2O-Al2O3-2SiO2
908,Apatite
909,2MgO-2Al2O3-5SiO2
910,PbO-TiO2
911,2ZnO-SiO2
912,BN
913,Pigment
914,2Al2O3-SiO2
915,Ti3B4
916,BaRh6O13
917,PbRh7O15
918,Teniolite
919,Mica
920,TiO
921,CuP
922,BP
923,Clay
924,Spinel
925,CaO-SiO2
926,ZrB2
927,TiN
928,Zeolite
929,Mg3N2
930,2MgO-SiO2
931,SiAlON
932,Ca3N2
933,Na2B4O7
934,Al(NO3)3
935,InP
936,GaAs
937,InGaAs
938,InGaAsP
939,Boride
940,Silicide
941,CeB6
942,LaB6
943,Mg2Si
944,MoSi2
945,NbB2
947,TaSi2
948,TiB2
949,VB2
950,SbPO4
951,Al2SiO5
952,KAlSi2O6
953,Cs2SO4
954,MgP4O11
955,V2SO4
956,ZnP4O11
957,LiSrAlF6
980,Alkali Silicate Glass
981,Non-alkali Silicate Glass
982,Silica Glass
983,Other Glass 
984,Si Crystal
985,Other Crystal
986,Ceramic
987,Metal
988,Plastic
999,Others
1000,ZnO2
1001,GdO
1002,SO4
I81,R2O
I82,RO
I83,R2O3
I84,RO2
I85,R2O5
I86,RO3
I91,RE2O3
I92,AnO2
