COMPONENT_ID,COMPONENT_DESC_EN
1,SiO2
2,B2O3
3,Al2O3
4,MgO
5,CaO
6,BaO
7,Li2O
8,Na2O
9,K2O
21,Cu2O
22,Rb2O
23,Ag2O
24,Cs2O
25,Tl2O
26,Hg2O
31,BeO
32,MnO
33,FeO
34,CoO
35,NiO
36,CuO
37,ZnO
38,SrO
39,CdO
40,PbO
41,HgO
42,SnO
51,Cr2O3
52,Fe2O3
53,Ga2O3
54,As2O3
55,Y2O3
56,In2O3
57,Sb2O3
58,La2O3
59,Nd2O3
60,Gd2O3
61,Bi2O3
62,Co2O3
63,Sc2O3
64,Co3O4
65,Sb2O5
66,Ce2O3
67,As2O5
68,Mn3O4
69,Fe3O4
70,Pb3O4
71,TiO2
72,MnO2
73,CoO2
74,GeO2
75,ZrO2
76,CeO2
77,SnO2
78,SeO2
79,TeO2
80,RuO2
81,P2O5
82,V2O5
83,Nb2O5
84,Ta2O5
85,V2O4
86,Mo2O5
87,V2O3
89,HfO2
90,Nb2O3
91,SO3
92,MoO3
93,WO3
94,SO2
95,CdS
96,Li2S
97,GeS2
98,ZnS
99,ZnSe
101,H2O
102,D2O
103,OH
104,NH3
105,N2O5
110,Pm2O3
111,Sm2O3
112,Eu2O3
114,Tb2O3
115,Dy2O3
116,Ho2O3
117,Er2O3
118,Tm2O3
119,Yb2O3
120,Lu2O3
121,Pr2O3
122,PdO
123,Pr6O11
124,PrO2
125,Mn2O3
126,CrO3
127,EuO
128,MoO2
130,ThO2
131,U2O3
132,UO2
134,PuO2
135,U3O8
136,UO3
137,Ti2O3
138,Ni2O3
141,CdSe
142,CdTe
161,PaO2
162,NpO2
163,AmO2
164,CmO2
165,BkO2
166,CfO2
167,EsO2
168,FmO2
169,MdO2
170,NoO2
171,LrO2
172,AcO2
173,Am2O3
174,Cm2O3
175,Rh2O3
176,NpO2
177,Tc2O7
181,R2O
182,RO
183,R2O3
184,RO2
185,R2O5
186,RO3
191,RE2O3
192,AnO2
201,LiF
202,NaF
203,KF
204,RbF
205,CsF
206,TlF
207,BeF2
208,MgF2
209,CaF2
210,SrF2
211,BaF2
212,MnF2
213,FeF2
214,CuF2
215,ZnF2
216,CdF2
217,SnF2
218,PbF2
219,ScF3
220,YF3
221,CrF3
222,AlF3
223,GaF3
224,InF3
225,BiF3
226,LaF3
227,CeF3
228,NdF3
229,GdF3
230,YbF3
231,LuF3
232,TiF4
233,ZrF4
234,HfF4
235,ThF4
236,VF3
237,SiF4
238,KHF2
239,DyF3
240,HoF3
241,CoF2
242,FeF3
243,VF4
244,SbF3
245,SmF3
246,NiF2
247,UF4
248,TbF3
249,EuF3
250,BaFCl
251,LiCl
252,NaCl
253,KCl
254,RbCl
255,CsCl
256,TlCl
257,BeCl2
258,MgCl2
259,CaCl2
260,SrCl2
261,BaCl2
262,MnCl2
263,FeCl2
264,CuCl2
265,ZnCl2
266,CdCl2
267,SnCl2
268,PbCl2
269,ScCl3
270,YCl3
271,CrCl3
272,AlCl3
273,GaCl3
274,InCl3
275,BiCl3
276,LaCl3
277,CeCl3
278,NdCl3
279,GdCl3
280,YbCl3
281,LuCl3
282,TiCl4
283,ZrCl4
284,HfCl4
285,ThCl4
286,AgCl
287,CuCl
288,CCl4
289,SOCl2
290,TbCl3
291,VCl3
292,PrCl3
293,ErCl3
294,SbCl3
295,TeCl4
296,WCl6
297,SrFCl
298,HoCl3
299,NiBr2
301,LiBr
302,NaBr
303,KBr
304,RbBr
305,CsBr
306,TlBr
307,BeBr2
308,MgBr2
309,CaBr2
310,SrBr2
311,BaBr2
312,MnBr2
313,Feb-02
314,CuBr2
315,ZnBr2
316,CdBr2
317,SnBr2
318,PbBr2
319,ScBr3
320,YBr3
321,CrBr3
322,AlBr3
323,GaBr3
324,InBr3
325,BiBr3
326,LaBr3
327,CeBr3
328,NdBr3
329,GdBr3
330,YbBr3
331,LuBr3
332,TiBr4
333,ZrBr4
334,HfBr4
335,ThBr4
336,AgBr
337,CuBr
338,ErBr3
339,HgBr2
351,LiI
352,NaI
353,KI
354,RbI
355,CsI
356,TlI
357,BeI2
358,MgI2
359,CaI2
360,SrI2
361,BaI2
362,MnI2
363,FeI2
364,CuI2
365,ZnI2
366,CdI2
367,SnI2
368,PbI2
369,ScI3
370,YI3
371,CrI3
372,AlI3
373,GaI3
374,InI3
375,BiI3
376,LaI3
377,CeI3
378,NdI3
379,GdI3
380,YbI3
381,LuI3
382,TiI4
383,ZrI4
384,HfI4
385,ThI4
386,AgI
387,CuI
388,ErI3
389,HgI2
391,HgF2
392,PF5
393,BF3
394,AgF
395,TiOF2
396,TmF3
397,ErF3
398,PrF3
399,NbF5
401,TaO2F
402,NbO2F
410,Na2S
411,Rb2S
412,SiS2
413,P2S5
414,SrB6
415,HgCl2
416,PbO2
417,CoCl2
418,PdF2
419,Na2Se
421,Albite
422,Anorthite
423,Apatite
424,Aragonite
425,Baddeleyte
426,Canasite
427,Ca-Orthophosphate
428,Carnegieite
429,Celsian
430,Cordierite
431,Corundum
432,Devitrite
433,Diopside
434,Enstatite
435,Eucryptite
436,Fe2O3
437,Feldspar
438,Fluoramphibole
439,Fluoromica
440,Fluorophlogopite
441,Fluorrichterite
442,Forsterite
443,Gehlenite
444,Gahnite
445,Keatite
446,Lepidolite
447,Li-Disilicate
448,Magnetite
449,Mg-Titanate
450,Mullite
451,Nepheline
452,Pollucite
453,Richterite
454,Rutile
455,Sphene
456,Spinel
457,Tridymite
458,Willemite
459,Zn-Petallite
460,Cristobalite
461,Quartz
462,BaZr2F10
463,BaZrF6
464,beta-Quartz
465,Silicon nitride
466,Spodumene
467,Tricalcium phosphate
468,Wollastonite
469,VOPO4
470,Mica
471,Monazite (Cryptolite)
472,Zirconia
473,Osumilite
474,Li-Metasilicate
501,H
502,He
503,Li
504,Be
505,B
506,C
507,N
508,O
509,F
510,Ne
511,Na
512,Mg
513,Al
514,Si
515,P
516,S
517,Cl
518,Ar
519,K
520,Ca
521,Sc
522,Ti
523,V
524,Cr
525,Mn
526,Fe
527,Co
528,Ni
529,Cu
530,Zn
531,Ga
532,Ge
533,As
534,Se
535,Br
536,Kr
537,Rb
538,Sr
539,Y
540,Zr
541,Nb
542,Mo
543,Tc
544,Ru
545,Rh
546,Pd
547,Ag
548,Cd
549,In
550,Sn
551,Sb
552,Te
553,I
554,Xe
555,Cs
556,Ba
557,La
558,Ce
559,Pr
560,Nd
561,Pm
562,Sm
563,Eu
564,Gd
565,Tb
566,Dy
567,Ho
568,Er
569,Tm
570,Yb
571,Lu
572,Hf
573,Ta
574,W
575,Re
576,Os
577,Ir
578,Pt
579,Au
580,Hg
581,Tl
582,Pb
583,Bi
584,Po
585,At
586,Rn
587,Fr
588,Ra
589,Ac
590,Th
591,Pa
592,U
593,Np
594,Pu
595,Am
596,Cm
597,Bk
598,Cf
